year;month;day;A;B;C;D;E
2010;1;5;0.005882352941174673;0.006480558325024921;-0.008574490889605602;0.009322198485143485;-0.00218221494817028
2010;1;6;0.010201429499675951;-0.008667657256066552;0.013513513513517594;0.021166057340770816;0.005467468562055489
2010;1;7;0.004695439634657017;-0.010242318261305061;-0.009333333333329863;0.004145468249483031;0.01685698749320408
2010;1;8;-0.0019206145966712551;-0.01514386673397139;-0.005383580080760675;0.00975792831675637;0.03636363636363571
2010;1;11;-0.012187299550994513;-0.00871348026653096;-0.0032476319350426275;-0.0029734250139354934;-0.011351909184729614
2010;1;12;0.006493506493505885;-0.009307135470527417;-0.012761335867499835;-0.0027958993476244753;0.02296450939457384
2010;1;13;0.012903225806452978;0.0031315240083507057;-0.0016501650164992832;0.0123364485981301;-0.030612244897957885
2010;1;14;0.0143312101910813;-0.0137877211238292;-0.017355371900832806;-0.0001846381093063565;-0.005789473684212121
2010;1;15;-0.0016954474097317096;-0.01688208915853373;0.002242781048503062;-0.012927054478298672;-0.004235044997353832
2010;1;18;0.00012580198767020434;0.008854306412664492;0.022377622377623307;0.014031805425627875;-0.004784688995213338
2010;1;19;0.0014465408805042212;-0.0026595744680848465;-0.004651162790701435;0.01383763837638452;0.025641025641025328
2010;1;20;-0.022106386987378213;-0.026399999999999535;-0.02556349642660216;-0.027297543221107556;0.019791666666666652
2010;1;21;0.00796352193179728;-0.01835113667488364;-0.031593794076166914;-0.03461178671655962;-0.04647599591419771
2010;1;22;0.013061484549218738;0.011439732142856984;0.01223419749490362;-0.021124031007752953;-0.03588644884842207
2010;1;26;-0.017672955974842086;0.0024827586206899177;-0.024460431654676595;-0.020194020985944028;-0.02388888888888885
2010;1;27;-0.010628081183175375;-0.014309301045680067;0.006194690265482361;-0.0137401495251529;0.018782014797951163
2010;1;28;0.001423671778943092;0.02987158012283664;0.014658457930230018;-0.0006146281499711526;0.014525139664805842
2010;1;29;-0.03069466882067795;-0.020601789102738133;-0.012713088702684172;0.0026650266502661335;-0.0060572687224685895
2010;2;1;0.009999999999998899;0.019159421894189066;0.0038045068773704394;0.030259660601104077;0.00387811634349422
2010;2;2;0.024422442244224074;0.0133116001086655;-0.005830903790085218;0.0;-0.012141280353204276
2010;2;3;0.014819587628867481;-0.004289544235925091;-0.0017595307917861458;-0.0021829728120642544;0.014525139664805842
2010;2;4;-0.04126984126984212;-0.03850296176629009;-0.05111633372503088;-0.05409705648369334;-0.008810572687226292
2010;2;5;-0.0364238410596015;-0.025483057966955824;-0.024148606811144724;-0.008410428931875269;-0.0444444444444424
2010;2;8;-0.010309278350517204;-0.002873563218391051;0.006979695431471589;0.007209499575911993;0.03255813953488418
2010;2;9;-0.002986111111111689;0.04466858789625383;0.015752993068683496;0.021052631578946768;0.0349099099099075
2010;2;10;0.0065473288291435505;0.0055172413793107555;0.01240694789081842;0.0010309278350504325;-0.007072905331883317
2010;2;11;0.02415057781468377;0.0175582990397809;0.022058823529411686;0.02348094747683227;0.0
2010;2;12;-0.005810810810809253;-0.00026961445133510953;0.01318944844124914;-0.006842423022741184;-0.029589041095887114
2010;2;17;0.048661139051243474;0.021574973031284195;0.013313609467450638;0.03951367781155013;0.016374929418404793
2010;2;18;-0.0067401166558669345;0.0031678986272436482;0.012846715328473923;0.016959064327485063;0.020000000000001128
2010;2;19;0.003653921440689656;-0.015789473684210464;-0.009801095416554384;-0.003258577726665046;-0.02450980392156743
2010;2;22;-0.004485762579636843;-0.010687385855246756;0.008733624454154931;-0.01923076923076872;0.013400335008372677
2010;2;23;-0.026970547900476927;-0.016657564172583794;-0.013275613275615994;-0.015294117647057126;-0.0033057851239637337
2010;2;24;-0.0013422818791966051;-0.011108025548458134;-0.007312079555422679;0.003584229390679816;-0.055074084428425873
2010;2;25;0.011155913978495802;-0.00028081999438378524;0.012964054213314702;0.005952380952378711;0.029585798816566866
2010;2;26;-0.008839558686695725;0.025280898876404168;0.0066899360093091165;-0.004930966469426923;0.014942528735634397
2010;3;1;0.011868839267753062;0.0019732514766437337;0.009245882692865637;0.010307234886024697;-0.0033975084937728495
2010;3;2;-0.005964214711728033;0.016137855579868576;0.005439450329229878;0.0200117716303716;-0.005681818181815901
2010;3;3;0.0033333333333329662;0.0;0.000854214123000796;-0.002115791498363495;-0.024571428571430465
2010;3;4;-0.010033222591361746;-0.001345895020189225;0.0014224751066849173;0.013878180416344144;0.0017574692442889894
2010;3;5;-0.01402778709980701;0.005390835579515363;0.01732954545454679;0.03231939163498221;0.04093567251461927
2010;3;8;0.00544588155207637;-0.0005361930294909278;-0.00307176766266104;-0.007366482504603922;0.014044943820226585
2010;3;9;-0.00954637779282197;0.012339055793991971;0.022408963585435204;0.007421150278293043;0.005540166204984098
2010;3;10;0.008134527308770956;0.004239533651298144;0.013698630136981027;-0.012891344383058723;0.013223140495869368
2010;3;11;0.0035259018171938106;0.0026385224274407815;0.0013513513513510045;-0.013059701492534992;-0.0021750951604144753
2010;3;12;-0.006756756756756022;-0.01605263157894754;0.0002699055330706024;-0.0056710775047278394;0.005449591280651811
2010;3;15;-0.0020408163265308588;0.005883926183470889;-0.007825148407985982;0.005703422053233931;0.008130081300816938
2010;3;16;0.00293115201090699;0.00638128157405049;0.011966276856129943;0.02495274102079237;-0.005376344086024165
2010;3;17;0.0025147828451024257;-0.009247027741083436;-0.0016124697661894505;0.001106602729619599;-0.016216216216214607
2010;3;18;0.0020338983050849357;-0.008000000000000784;-0.0034993270524921183;-0.00976418570375781;0.0
2010;3;19;-0.029059829055675612;-0.004032258064515792;-0.021339816315508076;-0.010790697674417205;-0.007142857142855674
2010;3;22;0.0035211267605619323;0.014844804318489002;0.0002760143527444914;0.01354147075418366;-0.009407858328721375
2010;3;23;-0.004912280701752536;-0.008244680851064667;-0.011589403973511159;0.03544256819447189;0.005586592178768557
2010;3;24;-0.007545839210156724;-0.021185304371144298;0.007537688442213808;-0.0017921146953424616;0.005603985039559944
2010;3;25;0.01243515952533314;0.012054794520546919;-0.024660570795236092;-0.007181328545780796;0.010526315789474827
2010;3;26;-0.003509264458170902;0.017866811044938702;-0.019886363636356097;0.009041591320074094;-0.009868421052629306
2010;3;29;-0.007747570080292809;0.014893617021276118;0.01159420289854629;0.022401433691754624;0.026578073089698284
2010;3;30;0.009511641113003622;0.010220125786162937;-0.002865329512892867;0.007011393514460673;0.006472491909386813
2010;3;31;-0.029461397834341763;0.011673151750973387;0.01695402298850124;-0.005221932114884087;0.018220793140405478
